Складские остатки шин магазина Master-Shina.Ru;

Название;Ширина;Высота;Диаметр;Сезон;Количество;Цена;
Royal Black Royal Performance 97W  зад;275;30;20;Лето;Более 20 шт;4750;
Royal Black Royal Performance 99W;245;45;17;Лето;12;3600;
Royal Black Royal Performance 95W  перед;245;35;20;Лето;Более 20 шт;4000;
Royal Black Royal Performance 101W;235;50;18;Лето;Более 20 шт;3750;
Royal Black Royal Performance 98W;235;45;18;Лето;Более 20 шт;3500;
Royal Black Royal Sport 102H;225;65;17;Лето;Более 20 шт;3800;
Royal Black Royal Sport 99H;225;60;17;Лето;Более 20 шт;3800;
Royal Black Royal Performance 95W;225;45;18;Лето;Более 20 шт;3500;
Royal Black Royal  A/T 109/107R;215;70;15;Лето;Более 20 шт;3700;
Royal Black Royal Sport 96H;215;60;17;Лето;Более 20 шт;3500;
Royal Black Royal Performance 98W;215;55;17;Лето;Более 20 шт;3500;
Royal Black Royal Commercial 102/100R;185;80;14;Лето;Более 20 шт;3000;
Royal Black Royal  M/T 108Q;315;70;15;Лето;4;7150;
Royal Black Royal Sport 120H;285;60;18;Лето;Более 20 шт;6000;
Royal Black Royal Performance 111V;255;55;19;Лето;Более 20 шт;5400;
Royal Black Royal Sport 109V;255;50;20;Лето;Более 20 шт;5750;
Royal Black Royal Performance 97W  перед;255;35;20;Лето;Более 20 шт;4100;
Royal Black Royal Performance 104W;245;50;18;Лето;20;4400;
Royal Black Royal Sport 100H;225;60;18;Лето;Более 20 шт;4000;
Royal Black Royal Sport 98H;225;55;18;Лето;Более 20 шт;3850;
Royal Black Royal Commercial 90/88R;155;80;13;Лето;Более 20 шт;2350;
Royal Black Royal Commercial 88/86R;155;80;12;Лето;Более 20 шт;2250;
Royal Black Royal  M/T 109Q;265;75;15;Лето;4;6000;
Royal Black Royal  M/T 126/123Q;285;75;16;Лето;12;7900;
Royal Black Royal  M/T 121/118Q;285;70;17;Лето;12;8800;
Royal Black Royal  M/T 123/120Q;265;75;16;Лето;4;7350;
Royal Black Royal  M/T 120/116Q;245;75;16;Лето;Более 20 шт;6250;
Royal Black Royal  M/T 120/116Q;235;85;16;Лето;16;6000;

Austone;
Austone Athena SP-701 93W;245;35;19;Лето;8;3500;
Austone Athena SP-303 111V;285;45;19;Лето;1;5200;
Austone Athena SP-302 99H;225;60;17;Лето;12;4000;
Austone Athena SP-701 99W;275;35;18;Лето;Более 20 шт;4000;
Austone CSC-302 A/T 115S;245;70;16;Лето;4;4600;

Barum;
Barum Bravuris 2 91W;245;40;17;Лето;Более 20 шт;3250;

BFGoodrich;
BFGoodrich  MUD- TERRAIN KM2 113Q;295;75;15;Лето;8;8000;

Bridgestone;
Bridgestone Potenza S001 100Y;275;35;19;Лето;4;7750;
Bridgestone Turanza T001 98W;225;60;16;Лето;4;4500;
Bridgestone Ecopia EP200 98V;225;60;16;Лето;8;4500;
Bridgestone Blizzak DM-V1 100R;235;60;16;Зима;4;4250;
Bridgestone  Dueler H/P Sport 109Н;255;65;16;Лето;4;4500;
Bridgestone Blizzak Spike-01 91T шип.;215;50;17;Зима;4;5000;
Bridgestone  Expedia S-01 94Y;275;35;17;Лето;4;3500;
Bridgestone Blizzak LM-25 94H RunFlat;225;50;17;Зима;Более 20 шт;4800;

Briway;
Briway BFU67 110W;275;45;20;Лето;Более 20 шт;4750;
Briway BFU67 106W;275;40;20;Лето;Более 20 шт;4750;
Briway BFH51 99V;225;60;18;Лето;20;3700;

Chengshan;
Chengshan CSC-701 99W;275;35;18;Лето;Более 20 шт;4000;
Chengshan Sportcat CSC-303 107V;235;60;18;Лето;Более 20 шт;4200;
Chengshan Sportcat CSC-302 A/T 102H;225;65;17;Лето;Более 20 шт;4250;
Chengshan CSR71 109/107R;215;75;16;Лето;Более 20 шт;4000;
Chengshan CSR40 90/88R;155;80;13;Лето;Более 20 шт;2200;
Chengshan Sportcat CSC-303 106V;275;40;20;Лето;Более 20 шт;4750;
Chengshan CSC-701 97W;245;40;18;Лето;Более 20 шт;3400;
Chengshan Sportcat CSC-701 107Y;295;35;21;Лето;Более 20 шт;6200;
Chengshan Sportcat CSC-303 111V;285;45;19;Лето;Более 20 шт;5000;
Chengshan Sportcat CSC-302 A/T 112T;265;65;17;Лето;4;5200;
Chengshan Sportcat CSC-303 110H;265;60;18;Лето;Более 20 шт;5100;
Chengshan Sportcat CSC-303 112V;255;60;18;Лето;4;4800;
Chengshan SportCat CSC-303 107V перед;255;50;19;Лето;Более 20 шт;4500;
Chengshan Sportcat CSC-302 A/T 111T;245;75;16;Лето;8;4900;
Chengshan CSC-701 98W;245;40;19;Лето;Более 20 шт;3800;
Chengshan Sportcat CSC-302 A/T 106T;235;70;16;Лето;4;4250;
Chengshan Sportcat CSC-302 A/T 99H;235;65;17;Лето;12;4350;
Chengshan CSC-701 91W;235;35;19;Лето;8;3400;
Chengshan CSR48 112/110Q;225;70;15;Лето;Более 20 шт;3650;
Chengshan Sportcat CSC-302 A/T 99H;225;60;17;Лето;12;4000;
Chengshan Sportcat CSC-302 A/T 100H;215;70;16;Лето;Более 20 шт;3700;
Chengshan CSR45 109/107Q;215;70;15;Лето;Более 20 шт;3500;
Chengshan CSR71 110/108Q;205;75;16;Лето;Более 20 шт;3600;
Chengshan CSR71 97/95Q;175;80;13;Лето;16;2700;
Chengshan CSR80 83/81Q;155;80;12;Лето;Более 20 шт;2200;

Continental;
Continental  ContiIceContact 106Т  шип.;275;40;20;Зима;4;7500;
Continental ContiVikingContact 6 SUV 116T;265;65;17;Зима;4;6500;
Continental ContiVikingContact 6 SUV FR 102T;225;65;17;Зима;4;5800;
Continental  ContiIceContact 102T шип.;225;60;16;Зима;2;2850;

Cooper;
Cooper  Discoverer HTS 107Y;255;50;19;Лето;20;7000;
Cooper Weather-Master WSC 97T шип.;235;50;18;Зима;4;5200;
Cooper CS5 Touring 95T;225;50;18;Лето;Более 20 шт;5700;
Cooper  Discoverer HTS 102H;225;65;17;Лето;Более 20 шт;5100;
Cooper  CS4 Touring H/V 99H;225;55;19;Лето;4;6500;
Cooper  Discoverer HTS 96H;215;60;17;Лето;Более 20 шт;4300;
Cooper  Discoverer HTS Plus 100H;225;60;18;Лето;Более 20 шт;5500;
Cooper  Discoverer HTS 101H;235;55;19;Лето;8;6300;
Cooper CS4 Touring H/V100V;235;55;18;Лето;Более 20 шт;6000;
Cooper   ZEON XL 101V;235;50;18;Лето;4;5750;
Cooper  Discoverer HTS 110H;265;60;18;Лето;Более 20 шт;6700;

Cordiant;
Cordiant Polar SL 105H;255;55;18;Зима;2;3500;
Cordiant Sno-Max 104T шип.;235;55;18;Зима;1;3500;
Cordiant Polar SL 107H;235;60;18;Зима;Более 20 шт;3200;

Durun;
Durun M626 114W;295;45;20;Лето;4;7000;
Durun YTR10 122/118N;7.50;;16;Лето;10;6500;
Durun M626 98W;285;30;19;Лето;4;7600;
Durun M626 110V;275;45;20;Лето;Более 20 шт;5000;
Durun M626 97W;255;35;20;Лето;4;4250;
Durun M636 97V;245;40;18;Лето;Более 20 шт;3600;
Durun M636 95W;245;40;17;Лето;Более 20 шт;3400;
Durun M636 101V;225;55;17;Лето;20;3500;
Durun M636 92W;225;50;16;Лето;4;3200;
Durun L919 95W;215;50;17;Лето;Более 20 шт;3000;
Durun M636 97W  зад;265;35;18;Лето;Более 20 шт;3700;
Durun M636 100W;255;40;19;Лето;Более 20 шт;4400;
Durun M636 98W;245;40;19;Лето;Более 20 шт;4100;
Durun M626 105V;255;45;20;Лето;8;4850;
Durun M636 100V;245;45;18;Лето;12;3850;
Durun M626 100W;285;30;21;Лето;8;7150;
Durun M626 99W;285;30;20;Лето;4;5600;
Durun M626 109W;275;50;20;Лето;Более 20 шт;5750;
Durun M636 94W  перед;225;45;17;Лето;Более 20 шт;3250;
Durun M636 100V;245;50;18;Лето;20;4150;
Durun M636 95W;215;50;17;Лето;12;3200;
Durun SPORT-ONE 84W;205;40;17;Лето;4;3150;
Durun M626 111W;295;40;21;Лето;Более 20 шт;7000;

Farroad;
FARROAD FRD78 116H;285;50;20;Зима;10;6250;
FARROAD FRD78 105V  зад.;275;40;19;Зима;Более 20 шт;5200;
FARROAD FRD79 102V  перед.;245;45;19;Зима;4;5300;
FARROAD FRD79 100H;235;50;17;Зима;16;3500;
FARROAD FRD78 100H;225;60;18;Зима;6;3500;

Firemax;
Firemax FM601 93W;245;35;19;Лето;12;3500;
Firemax FM393 99H;215;65;17;Лето;8;4250;
Firemax FM316 96H;215;65;15;Лето;4;2700;
Firemax FM316 95H;205;65;16;Лето;12;2800;
Firemax FM913 104/102S;195;70;15;Лето;12;3000;
Firemax FM601 91V;195;65;15;Лето;Более 20 шт;2300;
Firemax FM601 91W;195;55;16;Лето;4;2750;
Firemax FM601 87V;195;55;16;Лето;8;2600;
Firemax FM601 91W;255;30;19;Лето;14;4500;
Firemax FM601 100W;245;45;18;Лето;Более 20 шт;3500;
Firemax FM601 97W;245;40;18;Лето;Более 20 шт;3400;
Firemax FM601 95W;235;40;18;Лето;Более 20 шт;3200;
Firemax FM806 113T;275;50;20;Зима;Более 20 шт;6100;
Firemax FM806 110T;275;45;20;Зима;4;5500;
Firemax FM806 104T;255;45;19;Зима;2;4500;
Firemax FM806 107T;235;60;18;Зима;10;3650;
Firemax FM806 100T;235;60;16;Зима;4;3250;
Firemax FM806 100T;235;55;18;Зима;4;3700;
Firemax FM805 103V;235;55;17;Зима;8;3500;
Firemax FM805 98V;235;45;18;Зима;2;3500;
Firemax FM805 97V;235;45;17;Зима;8;3300;
Firemax FM806 102T;225;65;17;Зима;2;3800;
Firemax FM806 98T;225;55;18;Зима;Более 20 шт;3400;
Firemax FM805 94V;225;45;17;Зима;8;3150;
Firemax FM806 95T;215;55;18;Зима;4;3300;
Firemax FM602 114W;305;40;22;Лето;4;6250;
Firemax FM602 116W;285;50;20;Лето;4;5500;
Firemax FM602 106W;275;40;20;Лето;2;4750;
Firemax FM916 115/113R;235;65;16;Лето;Более 20 шт;4300;
Firemax FM316 100H;235;60;16;Лето;8;3500;
Firemax FM601 97W;235;45;17;Лето;Более 20 шт;3400;
Firemax FM916 112/110R;225;70;15;Лето;8;3850;
Firemax FM393 99H;225;60;17;Лето;4;3800;
Firemax FM601 95W;225;45;18;Лето;Более 20 шт;3400;
Firemax FM916 113/111R;215;75;16;Лето;4;4150;
Firemax FM913 109/107R;215;70;15;Лето;4;3900;
Firemax FM316 98H;215;65;16;Лето;2;3100;
Firemax FM601 91W;215;45;17;Лето;6;3100;
Firemax FM601 91V;205;55;16;Лето;2;2350;
Firemax FM601 93W;205;50;17;Лето;4;2900;
Firemax FM601 84W;205;40;17;Лето;8;2800;
Firemax FM601;185;65;15;Лето;Более 20 шт;2100;

Goldway;
GOLDWAY R828 104W;265;45;21;Лето;Более 20 шт;6850;
GOLDWAY Eco Blue 97W;235;45;17;Лето;Более 20 шт;3250;
GOLDWAY R838 99H;225;60;17;Лето;Более 20 шт;3650;
GOLDWAY Eco Blue 94W;225;45;17;Лето;Более 20 шт;2800;
GOLDWAY Eco Blue 93W;205;50;17;Лето;Более 20 шт;2800;

Goodyear;
Goodyear EfficientGrip SUV 107T;265;50;20;Лето;8;9000;
Goodyear Eagle F1 Asymmetric 109V RunFlat;255;55;18;Лето;4;6500;

Gremax;
Gremax Capturar CF8 100H;235;60;16;Лето;20;3350;

Habilead;
Habilead IceMax RW506 100H б/ш;245;45;18;Зима;Более 20 шт;3750;
Habilead IceMax RW506 111T шип.;245;65;17;Зима;4;4300;
Habilead IceMax RW506 100H шип.;245;45;18;Зима;20;4000;
Habilead IceMax RW506 108T шип.;235;65;17;Зима;12;3900;
Habilead IceMax RW506 107T шип.;235;60;18;Зима;Более 20 шт;4000;
Habilead IceMax RW506 103T шип.;235;55;17;Зима;8;3500;

Hemisphere;
Hemisphere HW505 105V;255;45;20;Зима;16;4850;
Hemisphere HW505 102H;235;55;20;Зима;Более 20 шт;4750;
Hemisphere HW505 106V  перед.;275;40;20;Зима;Более 20 шт;4600;
Hemisphere HW505 93H;245;40;18;Зима;13;3700;
Hemisphere HU901 111V  зад;285;45;19;Лето;Более 20 шт;5600;
Hemisphere HU901 113V;275;55;20;Лето;Более 20 шт;5300;
Hemisphere HU901 107V  перед;255;50;19;Лето;16;4850;
Hemisphere HU901 91W;235;35;19;Лето;4;3600;
Hemisphere HU901 84W;205;40;17;Лето;8;2800;

Horizon;
Horizon HU907 95W;235;40;18;Лето;4;3600;

Infinity Tyres;
Infinity Tyres Ecomax 100Y;255;40;19;Лето;20;5200;
Infinity Tyres Ecomax 91W;205;50;16;Лето;Более 20 шт;3100;
Infinity Tyres Ecomax 99Y;245;45;17;Лето;20;3800;
Infinity Tyres Ecomax 98Y;245;40;19;Лето;4;5000;
Infinity Tyres Ecomax 91Y  зад;245;40;17;Лето;8;3900;
Infinity Tyres Ecomax 97Y;235;45;17;Лето;Более 20 шт;3800;
Infinity Tyres Ecomax 98Y;225;50;17;Лето;Более 20 шт;3800;
Infinity Tyres Enviro 110Y  зад;315;35;20;Лето;Более 20 шт;7000;
Infinity Tyres Enviro 107Y;295;35;21;Лето;Более 20 шт;6900;
Infinity Tyres Ecomax 103Y  зад;255;45;18;Лето;4;4850;
Infinity Tyres Ecomax 97W;215;55;16;Лето;20;3400;
Infinity Tyres Ecomax 95W;215;50;17;Лето;4;3700;
Infinity Tyres Ecomax 90V;215;45;16;Лето;8;3400;
Infinity Tyres Enviro 111W;255;55;19;Лето;Более 20 шт;6000;
Infinity Tyres Ecomax 97Y;255;35;20;Лето;8;5000;
Infinity Tyres Enviro 101W;235;55;19;Лето;Более 20 шт;5650;
Infinity Tyres Enviro 99V;235;50;19;Лето;Более 20 шт;6000;
Infinity Tyres Ecomax 101Y;225;55;17;Лето;16;4100;
Infinity Tyres Ecomax 96Y;255;35;19;Лето;10;5100;
Infinity Tyres Ecomax 100Y;245;45;18;Лето;18;4100;
Infinity Tyres Enviro 97V;235;50;18;Лето;4;4500;
Infinity Tyres Ecomax 91Y;235;35;19;Лето;20;4200;
Infinity Tyres Ecomax 94W;225;45;17;Лето;Более 20 шт;3400;
Infinity Tyres Ecomax 98W;215;55;17;Лето;16;3700;
Infinity Tyres Enviro 106W  перед;275;40;20;Лето;Более 20 шт;6000;
Infinity Tyres Enviro 103W;245;45;20;Лето;4;5750;
Infinity Tyres Ecomax 95Y;225;45;18;Лето;12;4000;
Infinity Tyres Enviro 110W;275;45;20;Лето;12;6000;
Infinity Tyres Enviro 109W;255;55;18;Лето;Более 20 шт;4800;
Infinity Tyres Enviro 107W;255;50;19;Лето;Более 20 шт;5400;
Infinity Tyres Ecomax 94Y  зад;255;35;18;Лето;16;4200;
Infinity Tyres Ecomax 97Y;245;40;18;Лето;Более 20 шт;4000;
Infinity Tyres Enviro 107V;235;60;18;Лето;Более 20 шт;5000;
Infinity Tyres Enviro 99H;235;55;17;Лето;12;4300;
Infinity Tyres Ecomax 98Y;235;45;18;Лето;4;4150;
Infinity Tyres Ecomax 95W;235;40;18;Лето;16;3800;
Infinity Tyres Enviro 102H;225;65;17;Лето;Более 20 шт;4150;
Infinity Tyres Ecomax 92Y  перед;225;40;18;Лето;Более 20 шт;3700;
Infinity Tyres Enviro 96H;215;60;17;Лето;Более 20 шт;4000;
Infinity Tyres INF-050 87W;215;40;17;Лето;12;3250;
Infinity Tyres Enviro 104V;235;55;18;Лето;Более 20 шт;4850;
Infinity Tyres INF-050 97W;215;55;16;Лето;4;3600;
Infinity Tyres INF-050 100W;245;45;18;Лето;Более 20 шт;4300;
Infinity Tyres INF-050 91W;215;45;17;Лето;Более 20 шт;3600;
Infinity Tyres INF-050 87W;205;45;16;Лето;Более 20 шт;3150;
Infinity Tyres INF-050 93W;205;50;17;Лето;4;3400;
Infinity Tyres INF-050 94W;225;45;17;Лето;Более 20 шт;3600;
Infinity Tyres INF-050 91W  зад;245;40;17;Лето;20;4100;
Infinity Tyres INF-050 97W;235;45;17;Лето;Более 20 шт;3900;
Infinity Tyres INF-050 95W;235;40;18;Лето;Более 20 шт;4000;
Infinity Tyres INF-050 92W;225;40;18;Лето;2;3900;

Invovic;
Invovic EL318 98T;215;70;15;Лето;12;2800;
Invovic EL318 95T;205;70;14;Лето;8;2500;

Kinforest;
Kinforest KF 550 UHP 114Y;285;45;22;Лето;8;8800;
Kinforest KF 550 UHP 101Y  зад;275;40;19;Лето;2;6350;
Kinforest KF 550 UHP 113W;275;50;20;Лето;Более 20 шт;7750;
Kinforest KF 550 UHP 111Y;295;40;21;Лето;Более 20 шт;8750;
Kinforest KF 550 UHP 104Y  зад;285;35;20;Лето;8;7250;
Kinforest KF 550 UHP 111Y;275;45;21;Лето;Более 20 шт;8900;
Kinforest KF 550 UHP 107Y;275;40;22;Лето;8;7750;
Kinforest KF 550 UHP 107Y;275;40;21;Лето;16;7250;
Kinforest KF 550 UHP 104Y;265;45;21;Лето;Более 20 шт;8350;
Kinforest KF-550 UHP 101Y  перед;255;40;20;Лето;Более 20 шт;6250;
Kinforest KF 550 UHP 102W;245;50;20;Лето;16;6850;
Kinforest KF 550-UHP 105V;235;55;20;Лето;20;7500;
Kinforest KF 550 UHP 107Y;295;35;21;Лето;4;8500;
Kinforest KF 550 UHP 101Y;285;35;18;Лето;12;6150;
Kinforest KF-550 UHP 104W;255;45;19;Лето;Более 20 шт;6700;
Kinforest KF 550 UHP 99W;255;40;18;Лето;2;5000;
Kinforest KF 550 UHP 110Y  зад;315;35;20;Лето;Более 20 шт;7750;
Kinforest KF 550 UHP 106Y  перед;275;40;20;Лето;Более 20 шт;6500;
Kinforest KF 550 UHP 96W  зад;275;30;19;Лето;2;5600;
Kinforest KF-550 UHP 98Y;245;45;19;Лето;2;5800;
Kinforest KF 550 UHP 93W  перед;245;35;19;Лето;2;5000;

Kpatos;
Kpatos FM601 91W;235;35;19;Лето;4;3400;
Kpatos FM501 117T;275;55;20;Лето;12;6500;
Kpatos FM523 M/T 118/115Q;265;70;17;Лето;20;6800;
Kpatos FM601 88W;225;35;19;Лето;4;3600;
Kpatos FM316 98H;215;65;16;Лето;16;3000;
Kpatos FM316 95H;205;65;16;Лето;12;2800;
Kpatos FM316 92H;205;60;16;Лето;Более 20 шт;2650;

Magnum;
Magnum MG1 104/102R;185;75;16;Лето;2;2750;

Michelin;
Michelin  LATITUDE X-ICE NORTH LXIN2 107T;225;70;16;Зима;4;5250;
Michelin Latitude X-Ice North 2 111T шип.;255;55;19;Зима;8;8000;
Michelin  Pilot Sport Cup 2 91Y;245;35;20;Лето;Более 20 шт;8750;
Michelin Pilot Sport Cup 2 91Y;235;35;19;Лето;Более 20 шт;8250;
Michelin X-Ice Xi2  100T;215;70;16;Зима;4;4400;
Michelin  Primacy  3 91V;205;55;16;Лето;Более 20 шт;3650;

Minerva;
Minerva F205 105Y  зад.;275;40;19;Лето;Более 20 шт;4850;
Minerva F205 93Y зад.;265;30;19;Лето;8;4000;
Minerva F205 94Y  зад;255;35;18;Лето;8;3850;
Minerva F205 102Y;245;45;19;Лето;Более 20 шт;4600;
Minerva F205 99W;245;45;17;Лето;8;3650;
Minerva F205 98Y;245;40;19;Лето;8;4250;
Minerva Ecospeed 2 SUV 107W;235;60;18;Лето;4;4400;
Minerva Ecospeed 2 SUV 105W;235;55;19;Лето;4;5500;
Minerva F205 96Y;235;40;19;Лето;8;4500;
Minerva F205 91Y;235;35;19;Лето;12;3700;
Minerva F205 98Y;225;50;17;Лето;8;3500;
Minerva F205 92Y  перед;225;40;18;Лето;8;3450;
Minerva Ecospeed 2 SUV 99V;215;55;18;Лето;16;3600;
Minerva F205 86H;215;45;16;Лето;4;3100;
Minerva F110 106W;275;40;20;Лето;Более 20 шт;5000;
Minerva S210 Ice Plus 91H;205;50;16;Зима;8;2900;
Minerva F105 96W;255;35;19;Лето;12;4300;
Minerva F105 87W;215;40;17;Лето;2;2500;
Minerva Transporter RF09 107/105R;195;75;16;Лето;4;3500;
Minerva Ecospeed 2 SUV 99V;225;55;19;Лето;16;5100;
Minerva RF08 88/86N;155;80;12;Лето;Более 20 шт;2400;
Minerva SR1 90Q шип.;155;80;13;Зима;Более 20 шт;2750;
Minerva SR1 88Q шип.;155;80;12;Зима;1;3000;
Minerva SR1 90Q;155;80;13;Зима;2;2650;
Minerva S210 Ice Plus 101V;235;50;18;Зима;Более 20 шт;3800;
Minerva S210 Ice Plus 91V;235;35;19;Зима;Более 20 шт;3850;
Minerva S210 Ice Plus 87H;205;45;16;Зима;18;2850;
Minerva S210 Ice Plus 84V;205;40;17;Зима;8;3100;
Minerva F110 116V;285;50;20;Лето;Более 20 шт;6000;
Minerva F110 117V;275;55;20;Лето;Более 20 шт;5750;
Minerva F110 110W;275;45;20;Лето;Более 20 шт;5250;
Minerva F110 107V;265;50;20;Лето;Более 20 шт;5600;

Nokian;
Nokian WR C Van 102/100T;205;65;15;Зима;Более 20 шт;3250;
Nokian Hakka zLine 97Y финляндия;245;40;18;Лето;Более 20 шт;6400;
Nokian  Hakkapeliitta 7 SUV 107T шип.;245;55;19;Зима;4;7100;

Odyking;
Odyking FM601 91W;235;35;19;Лето;4;3400;
Odyking FM316 98H;225;60;16;Лето;Более 20 шт;3000;
Odyking FM601 82V;195;50;15;Лето;10;2150;

Roadcruza;
Roadcruza RW777 107V;275;40;22;Зима;2;7250;
Roadcruza RW777 105V  зад.;275;40;19;Зима;16;5850;
Roadcruza RW777 102V  перед.;245;45;19;Зима;20;5350;

Roadstone;
Roadstone Winguard SPORT 98V;225;50;17;Зима;1;2500;

Sailun;
Sailun Terramax CVR 111H;245;70;16;Лето;4;4900;
Sailun Ice Blazer WST3 102T шип.;225;55;18;Зима;16;4300;
Sailun Ice Blazer WST1 107/105Q шип.;205;65;16;Зима;4;3800;
Sailun Atrezzo ZSR SUV 110Y;275;45;21;Лето;4;7750;
Sailun Ice Blazer WST3 103T шип.;235;55;17;Зима;10;4400;
Sailun Ice Blazer WST3 92H шип.;225;40;18;Зима;8;4000;
Sailun Ice Blazer WST3 96T шип.;205;60;16;Зима;5;3200;
Sailun ICE BLAZER WST1 107S;245;65;17;Зима;4;4800;
Sailun Ice Blazer WST1 100T шип;235;55;18;Зима;6;4500;
Sailun ICE BLAZER WST1 100H шип.;245;45;18;Зима;Более 20 шт;4750;
Sailun Ice Blazer WST1 97T шип.;235;45;17;Зима;16;4250;
Sailun Atrezzо ZSR 95W;225;50;18;Лето;4;4400;
Sailun Atrezzо ZSR 92W;225;40;18;Лето;6;4150;
Sailun Commercio VXI 106/104R;205;70;15;Лето;4;3500;
Sailun Ice Blazer WSL2 94H;225;45;17;Зима;8;3000;
Sailun Ice Blazer WSL2 97V;245;40;18;Зима;6;4200;
Sailun Ice Blazer WST1 98T шип.;225;55;18;Зима;4;4000;

Sportiva;
Sportiva Snow Win 107H;235;60;18;Зима;2;2500;

Sunny;
SUNNY SN3630 100W;255;40;19;Лето;Более 20 шт;4700;
SUNNY SAS028 103H;245;55;19;Лето;Более 20 шт;4600;
SUNNY SN3970 93W;245;35;19;Лето;12;3900;
SUNNY SAS028 104V;235;55;18;Лето;12;4750;
SUNNY SN3970 100W;235;50;17;Лето;Более 20 шт;3650;
SUNNY SN3970 97W;235;45;17;Лето;Более 20 шт;3500;
SUNNY SN3606 99H;225;60;17;Лето;12;3800;
SUNNY SH220 96H;215;60;17;Лето;Более 20 шт;3500;
SUNNY SN3970 95W;215;50;17;Лето;Более 20 шт;3400;
SUNNY SN3870 114V;305;40;22;Лето;4;6750;
SUNNY SN3630 101W  зад;275;40;19;Лето;Более 20 шт;4500;
SUNNY SN3800 95W  зад;275;35;18;Лето;Более 20 шт;4800;
SUNNY SN3630 102W;245;45;19;Лето;Более 20 шт;4350;
SUNNY SN3870 92W;235;35;20;Лето;8;6250;
SUNNY SN3970 92W;225;40;18;Лето;16;3350;
SUNNY SN3830 95V;215;55;18;Зима;1;2500;
SUNNY SN3606 102T;225;65;17;Лето;4;3900;
SUNNY SN3800 97W  перед;245;40;18;Лето;1;3800;
SUNNY SN3800 103W;255;45;18;Лето;20;4300;
SUNNY SN3800 97W;235;50;18;Лето;Более 20 шт;4000;
SUNNY SN3970 95W;235;40;18;Лето;Более 20 шт;3500;
SUNNY SN3970 101W;225;55;17;Лето;Более 20 шт;3300;
SUNNY SN3970 98W;225;50;17;Лето;Более 20 шт;3400;
SUNNY SN3970 94W;225;45;17;Лето;Более 20 шт;3000;
SUNNY SN3970 98W;215;55;17;Лето;Более 20 шт;3250;

Sunwide;
